phase,epoch,val_loss,val_ppl,val_acc,time_sec
pitch,1,2.6657961272991453,14.379392817409029,0.10662798311414959,63.37987971305847
pitch,2,2.6244510094212576,13.796997684799592,0.11400691773884696,62.65390920639038
pitch,3,2.608981610185762,13.585208766475805,0.11828367081295799,59.99815630912781
pitch,4,2.5679791536479244,13.039447078551209,0.12127035559986706,60.37686324119568
pitch,5,2.556541360257458,12.89115426489658,0.12386050677333078,62.43532919883728
pitch,6,2.550134786351432,12.80883012179517,0.1251760937425818,60.2314088344574
pitch,7,2.5338128316377198,12.601461907573544,0.12760912698412705,62.75547456741333
pitch,8,2.5205455440488933,12.435378860348788,0.1303017781971546,62.06498408317566
pitch,9,2.5104204128557472,12.310104298878874,0.13310668193831207,67.65432167053223
pitch,10,2.5062747102601475,12.25917590745869,0.1365589639810727,66.0897114276886
duration,1,1.5226128170333786,4.584187203476836,0.3017878408425517,48.98699498176575
duration,2,1.512143349597045,4.53644356615265,0.30131366812261634,47.36366820335388
duration,3,1.49132909981735,4.4429967826630445,0.3012142936270553,53.21405291557312
duration,4,1.4758632077494387,4.37481051384044,0.30339540901106204,46.63461422920227
duration,5,1.4667664937512002,4.335194574420102,0.30531476503030586,49.05163383483887
duration,6,1.4587256327933968,4.300475649709029,0.30716475573280155,47.42948031425476
duration,7,1.454556240317009,4.282582606371179,0.30697773247717164,48.569047689437866
duration,8,1.4517389613301634,4.2705343559951,0.3084045779328681,47.79029703140259
duration,9,1.447451163154298,4.2522623678667,0.30850529759926554,46.83059310913086
duration,10,1.4469249942980775,4.250025548364237,0.30801284143600943,46.59351181983948
